epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5992969870567322,0.6520119309425354,0.001,0.8601398468017578,0.4827227294445038
1,0.8769771456718445,0.40768197178840637,0.001,0.9230769276618958,0.3081825077533722
2,0.9384886026382446,0.2711103558540344,0.001,0.9790209531784058,0.20297463238239288
3,0.9384886026382446,0.19036883115768433,0.001,0.9860140085220337,0.139298677444458
4,0.9613356590270996,0.142707958817482,0.001,0.9930070042610168,0.10718220472335815
5,0.9718804955482483,0.11256546527147293,0.001,1.0,0.08560315519571304
6,0.9736379384994507,0.09357380867004395,0.001,1.0,0.07137064635753632
7,0.9771528840065002,0.07862462848424911,0.001,1.0,0.06150876730680466
8,0.982425332069397,0.06761534512042999,0.001,1.0,0.052029531449079514
9,0.9859402179718018,0.058790422976017,0.001,1.0,0.048158198595047
10,0.9876977205276489,0.05238303169608116,0.001,1.0,0.04394562169909477
11,0.9876977205276489,0.04656114801764488,0.001,1.0,0.03897647559642792
12,0.9876977205276489,0.0423070527613163,0.001,1.0,0.03603266552090645
13,0.9876977205276489,0.03830411657691002,0.001,1.0,0.03358030319213867
14,0.9894551634788513,0.03564421832561493,0.001,0.9930070042610168,0.031080882996320724
15,0.9894551634788513,0.03260200470685959,0.001,1.0,0.03164331614971161
16,0.9912126660346985,0.030332447960972786,0.001,1.0,0.029627986252307892
17,0.9912126660346985,0.02821006439626217,0.001,1.0,0.026886964216828346
18,0.9929701089859009,0.026680292561650276,0.001,1.0,0.026003701612353325
19,0.9929701089859009,0.02542821504175663,0.001,0.9930070042610168,0.02521316520869732
20,0.994727611541748,0.02324996143579483,0.001,1.0,0.02637740783393383
21,0.994727611541748,0.02263166755437851,0.001,1.0,0.023933375254273415
22,0.9964850544929504,0.02119169384241104,0.001,1.0,0.02237713150680065
23,0.9964850544929504,0.02013164758682251,0.001,1.0,0.022764012217521667
24,0.994727611541748,0.018712617456912994,0.001,1.0,0.021900858730077744
25,0.994727611541748,0.01845339499413967,0.001,1.0,0.021528273820877075
26,0.994727611541748,0.017632344737648964,0.001,1.0,0.020291222259402275
