epoch,accuracy,loss,lr,val_accuracy,val_loss
27,0.994727611541748,0.018389787524938583,0.001,1.0,0.017743786796927452
28,0.994727611541748,0.01630091667175293,0.001,1.0,0.02146811969578266
29,0.9964850544929504,0.015316329896450043,0.001,1.0,0.01852845959365368
30,0.994727611541748,0.015110588632524014,0.001,1.0,0.018911488354206085
31,0.9964850544929504,0.014029815793037415,0.001,1.0,0.01811142824590206
32,0.994727611541748,0.013835343532264233,0.001,1.0,0.016458136960864067
33,0.994727611541748,0.012996655888855457,0.001,1.0,0.017305193468928337
34,0.9964850544929504,0.012981845065951347,0.001,1.0,0.016766276210546494
35,0.9964850544929504,0.012736494652926922,0.001,1.0,0.016532963141798973
36,0.9982425570487976,0.01191101036965847,0.001,1.0,0.018093015998601913
37,0.9964850544929504,0.011864240281283855,0.001,1.0,0.014730449765920639
38,0.9964850544929504,0.011299333535134792,0.001,1.0,0.017272407189011574
39,0.994727611541748,0.010840138420462608,0.001,1.0,0.01466544158756733
40,0.9964850544929504,0.01012032013386488,0.001,1.0,0.014206381514668465
41,0.9982425570487976,0.009798322804272175,0.001,1.0,0.015005598776042461
42,0.9964850544929504,0.010476595722138882,0.001,1.0,0.014458398334681988
43,0.9982425570487976,0.009842494502663612,0.001,1.0,0.014497621916234493
44,1.0,0.009083123877644539,0.001,1.0,0.013826414942741394
45,0.9982425570487976,0.008674484677612782,0.001,1.0,0.013691377826035023
46,0.9982425570487976,0.008448601700365543,0.001,1.0,0.01353338174521923
47,0.9982425570487976,0.008254009298980236,0.001,1.0,0.01387819740921259
48,1.0,0.007891380228102207,0.001,1.0,0.012371610850095749
49,0.9964850544929504,0.008148462511599064,0.001,1.0,0.011930990032851696
50,0.9982425570487976,0.008364983834326267,0.001,1.0,0.01308371964842081
51,1.0,0.0070353164337575436,0.001,1.0,0.010608471930027008
52,0.9982425570487976,0.007473755162209272,0.001,1.0,0.010710855945944786
53,0.9964850544929504,0.007079159840941429,0.001,1.0,0.011156800203025341
54,1.0,0.006502453237771988,0.001,1.0,0.012490974739193916
55,1.0,0.006452532019466162,0.001,1.0,0.011671004816889763
56,1.0,0.006603679619729519,0.001,1.0,0.00987886730581522
57,1.0,0.006113181356340647,0.001,1.0,0.01108712237328291
58,1.0,0.006046118680387735,0.001,1.0,0.012634471990168095
59,1.0,0.005670047830790281,0.001,1.0,0.010284645482897758
60,1.0,0.005858590826392174,0.001,1.0,0.01136687584221363
61,0.9964850544929504,0.006193170789629221,0.001,1.0,0.009749997407197952
62,1.0,0.005107856821268797,0.001,1.0,0.011907379142940044
63,1.0,0.005863132420927286,0.001,1.0,0.010049236007034779
64,1.0,0.005340725649148226,0.001,1.0,0.010505505837500095
65,1.0,0.004945999011397362,0.001,1.0,0.011062358506023884
66,1.0,0.004983067512512207,0.001,1.0,0.009168386459350586
67,1.0,0.0046425266191363335,0.001,1.0,0.010381249710917473
68,1.0,0.004886255133897066,0.001,1.0,0.01059870794415474
69,1.0,0.0044023022055625916,0.001,1.0,0.00941399671137333
70,1.0,0.004618119914084673,0.001,1.0,0.00979242566972971
71,1.0,0.00455862982198596,0.001,1.0,0.00895689893513918
72,1.0,0.004198889713734388,0.001,1.0,0.008052227087318897
73,1.0,0.004039647523313761,0.001,1.0,0.010355300270020962
74,1.0,0.003974407911300659,0.001,1.0,0.010003344155848026
75,1.0,0.003983787726610899,0.001,1.0,0.0091231819242239
76,1.0,0.004018727689981461,0.001,1.0,0.008058096282184124
77,1.0,0.0036234038416296244,0.001,1.0,0.010580225847661495
